"categoryName","location/lat","location/lng","totalScore","address","postalCode","title","reviewsCount","reviewsDistribution","reviewsDistribution/fiveStar","reviewsDistribution/fourStar","reviewsDistribution/oneStar","reviewsDistribution/threeStar","reviewsDistribution/twoStar","street","price"
"Hospital","31.121106","74.4537313",,"4FC3+CFX, Tariq Colony Kasur, Punjab 55050, Pakistan","55050","Maternity Clinic","0",,,,,,,"4FC3+CFX",
"Hospital","31.1087998","74.42992",,"4C5H+GX7, farid chowk, Basti Sabri Kasur, Punjab, Pakistan",,"Maryyam Gynee Center","0",,,,,,,"4C5H+GX7, farid chowk",
"Hospital","31.1380524","74.4308472",,"4CQJ+68H, Kasur, Punjab, Pakistan",,"Drug Bank","0",,,,,,,"4CQJ+68H",
"Private hospital","31.1223397","74.4506255",,"4FC2+W7J, M.A Jinah Rd, Kasur, Punjab, Pakistan",,"نیر کلینک","0",,,,,,,"4FC2+W7J, M.A Jinah Rd",
"Hospital","31.1326046","74.4436903","2.7","4CMV+2FW, Mushtaq Colony Kasur, Punjab, Pakistan",,"Khurshid Eye Clinic","3",,"1","0","1","0","1","4CMV+2FW",
"Medical Center","31.1276858","74.4446102","5","4CHV+3RH, Khara Rd, Azhar Colony Kasur, Punjab, Pakistan",,"Mafia Clinic","1",,"1","0","0","0","0","4CHV+3RH, Khara Rd",
"Medical Center","31.1320955","74.451864","3.9","next to MCB bank, Qadirabad, Kasur, Punjab, Pakistan",,"Zeeshan Clinic","20",,"9","4","1","4","2","next to MCB bank",
"Medical clinic","31.1175611","74.4554741","5","Naseem Hayat Rd, Kasur, Punjab 55050, Pakistan","55050","Al Syed Clinic","1",,"1","0","0","0","0","Naseem Hayat Rd",
"Hospital","31.1124619","74.4531835",,"Kot Molvi Abdul Qadar Kot Molvi Abdul Qadir, Kasur, Punjab, Pakistan",,"Rehan Clinic","0",,,,,,,,
"Medical Center","31.1238464","74.4412049","2","Nafees Colony Kasur, Punjab 55050, Pakistan","55050","MA SHA ALLAH MEDICAL STORE.","1",,"0","0","0","0","1",,
"Hospital","31.121233","74.4499309","4.8","medical centre, Haji Fareed Rd, Kasur, Punjab 55050, Pakistan","55050","Dr. Qaisar Khan Dermatologist","4",,"3","1","0","0","0","medical centre, Haji Fareed Rd",
"Hospital","31.1303611","74.4636778","4.5","Khushi Garden, Saeed Abad Saeedabad, Kasur, Punjab 55050, Pakistan","55050","Fatima hospital kasur","2",,"1","1","0","0","0","Khushi Garden",
"Medical Center","31.1179115","74.4435555","5","4C9V+6F8, Railway Rd, Kasur, Punjab, Pakistan",,"Ali medical centre","2",,"2","0","0","0","0","4C9V+6F8, Railway Rd",
"Hospital","31.1153711","74.4646479",,"4F87+4VR, Tehsil Rd, opposite BOP, Irrigation Colony Kasur, Punjab, Pakistan",,"GIMS CALINIC","0",,,,,,,"4F87+4VR, Tehsil Rd, opposite BOP",
"Hospital","31.0998405","74.468778",,"3FX9+WGJ Chowk kamal chishti, Depal Pur Rd, Bangala Kamboha, Kasur, Punjab, Pakistan",,"Ali medical complex kasur","0",,,,,,,"3FX9+WGJ Chowk kamal chishti, Depal Pur Rd",
"Hospital","31.1288005","74.4469511",,"UMAR FAROOQ COLONY OLD LARI ADDA, Kasur, Punjab 55050, Pakistan","55050","Muneeb Medical Complex Kasur","0",,,,,,,"UMAR FAROOQ COLONY OLD LARI ADDA",
"Medical Center","31.1206462","74.4452102","2.2","4CCW+734, Naya Bazar, Kasur, Punjab, Pakistan",,"محکم کلینک نزد بابا بلھے شاہ دربار","13",,"3","1","8","0","1","4CCW+734, Naya Bazar",
"Hospital","31.121586","74.450828","1","4FC2+J8P, Railway Rd, Kasur, Punjab, Pakistan",,"Shaukat khanum memorial cancer hospital collection centre","1",,"0","0","1","0","0","4FC2+J8P, Railway Rd",
"Hospital department","31.1089267","74.4426657","5","Shah Nawaz Hospital, near Apna Marriage Hall, Kot Murad Khan, Kasur, Punjab 55050, Pakistan","55050","Shah Nawaz Hospital","1",,"1","0","0","0","0","Shah Nawaz Hospital, near Apna Marriage Hall",
"Medical Center","31.1175828","74.4514889","3.5","Circular Rd, Kasur, Punjab 55050, Pakistan","55050","Hussain Medical Centre","11",,"5","1","3","2","0","Circular Rd",
"Hospital","31.1138861","74.4444574","4","4C7V+HQ4, Salamat Pura Rd, Kasur, Punjab, Pakistan",,"Dr Allah Dita Pana Geer","2",,"1","0","0","1","0","4C7V+HQ4, Salamat Pura Rd",
"Medical laboratory","31.1352281","74.4583189","4.8","Nearest Al Sharif Plaza, Opp: DHQ Hospital, Kasur, 48701, Pakistan","48701","Chughtai Lab , Near DHQ Hospital, Kasur","94",,"81","9","2","2","0","Nearest Al Sharif Plaza, Opp: DHQ Hospital",
"Hospital","31.1150016","74.4519966","1","4F82+2Q5، near Habib Grammer School, Kot Molvi Abdul Qadar Kasur, Punjab, Pakistan",,"Bint-e-Asia Hospital","1",,"0","0","1","0","0","4F82+2Q5، near Habib Grammer School",
"Hospital","31.1203046","74.452976",,"Food Street, Noor Masjid Rd, near Al-Habib Restaurant, Tariq Colony Kasur, Punjab 55050, Pakistan","55050","Ahmad Medical Complex","0",,,,,,,"Food Street, Noor Masjid Rd, near Al-Habib Restaurant",
"Medical Center","31.1396364","74.460868","4","Kasur, Punjab, Pakistan",,"گلبرگ میٹرنٹی ھوم","2",,"1","0","0","1","0",,
"Hospital","31.1198096","74.462094","4","4F96+WRH, Ali Ahmad Shah Colony Ali Ahmed Shah Colony, Kasur, Punjab, Pakistan",,"FHC Kasur, Rahnuma-FPAP","2",,"1","0","0","1","0","4F96+WRH",
"Hospital","31.1247015","74.4479352","4.6","4CFX+V5M, Kasur, Punjab, Pakistan",,"Veterinary hospital","5",,"4","0","0","1","0","4CFX+V5M",
"Medical Center","31.1132098","74.4551182","3","4F74+72Q, Qatar Garhi Kasur, Punjab, Pakistan",,"Zainab Gyane And UltraSound Center","2",,"1","0","1","0","0","4F74+72Q",
"Medical Center","31.1246703","74.4451819",,"4CFW+V37, Kasur, Punjab, Pakistan",,"Lahore Ganye Hospital","0",,,,,,,"4CFW+V37",
"Medical Center","31.1243327","74.4455078","5","4CFW+P6J, Kot Rukan Din, Kasur, Punjab, Pakistan",,"Sana Gynae Center","1",,"1","0","0","0","0","4CFW+P6J",
"Medical clinic","31.1212759","74.4500412","5","4FC2+G27, Baba Bulleh Shah Rd, Kasur, Punjab, Pakistan",,"Doctor adrees shaikh hospital kasur","2",,"2","0","0","0","0","4FC2+G27, Baba Bulleh Shah Rd",
"Medical Center","31.1368693","74.4574548","3","4FP4+QX4, Kasur, Punjab, Pakistan",,"CT Scan Center(Eastern Medical) Kasur/DHQ Hospital Kasur","2",,"0","0","0","2","0","4FP4+QX4",
"Hospital","31.1024096","74.4285239","4.6","4C2H+XC6, Nizam Pura Rd, Kasur, Punjab, Pakistan",,"BHU Sheikh Bhago","5",,"4","0","0","1","0","4C2H+XC6, Nizam Pura Rd",
"Medical Center","31.1134279","74.4354951","5","4C7P+95H, Kasur, Punjab, Pakistan",,"Muqadus Gynae Center","2",,"2","0","0","0","0","4C7P+95H",
"Hospital","31.136216","74.4565927","4.3","4FP4+FJP, Shahrah-e-Liaquat Ali, Kasur, Punjab, Pakistan",,"Civil Hospital","6",,"5","0","1","0","0","4FP4+FJP, Shahrah-e-Liaquat Ali",
"Medical Center","31.1084103","74.4482839","4.7","4C5X+987, Kasur, Punjab, Pakistan",,"Al Shifa Gunee Center","3",,"2","1","0","0","0","4C5X+987",
"Hospital","31.1117655","74.4481697","3.8","4FC5+Q3P Milad Gate, Shahbaz Khan Rd, near asheaf complex, Kasur, Punjab, Pakistan",,"Ashraf Complex","4",,"2","1","1","0","0","4FC5+Q3P Milad Gate, Shahbaz Khan Rd, near asheaf complex",
"Hospital","31.1305734","74.4433835","4.7","Pakiza colony, Khara Rd, Basti Khadimabad, Kasur, Punjab 50550, Pakistan","50550","Zafar Medical Complex","3",,"2","1","0","0","0","Pakiza colony, Khara Rd",
"Medical Center","31.1150978","74.4521095","3.7","4F82+2RQ, Katchehry Rd, Kot Molvi Abdul Qadar Kasur, Punjab, Pakistan",,"Zia Hospital","3",,"2","0","1","0","0","4F82+2RQ, Katchehry Rd",
"Hospital","31.141278","74.4636444","5","4FR7+GF6, Qadiwind Rd, Gulberg Colony, Kasur, Punjab, Pakistan",,"Sughra BiBi Center","1",,"1","0","0","0","0","4FR7+GF6, Qadiwind Rd",
"Medical Center","31.1142526","74.4585595","4","4F75+PC3, Kot Ghulam Muhammad, Kasur, Punjab, Pakistan",,"Abida Taseer Maternity & General Hospital","2",,"1","0","0","1","0","4F75+PC3",
"Hospital","31.1196109","74.4555866","5","Islamia School, Road, Tariq Colony, Kasur, Punjab, Pakistan",,"EPI Center CEO Health Office","1",,"1","0","0","0","0","Islamia School, Road",
"Hospital","31.1148902","74.4265122","5","4C7G+XJ2, Chiragh Shah Rd, Rukan Pura Kasur, Punjab, Pakistan",,"Health Care Ultrasound And Gynae Clinic","1",,"1","0","0","0","0","4C7G+XJ2, Chiragh Shah Rd",
"Neurosurgeon","31.1150812","74.4425474","3.7","City Clanic, Rasul Pura Rd, Kasur, Punjab, Pakistan",,"City Clinic. Prof Doctor Abdul Hameed","6",,"4","0","2","0","0","City Clanic, Rasul Pura Rd",
"Hospital","31.1120242","74.4399347","1.5","4C6Q+RX3, Nizam Pura Rd, Kasur, Punjab, Pakistan",,"Lahore Medical Center","2",,"0","0","1","0","1","4C6Q+RX3, Nizam Pura Rd",
"Hospital","31.1177541","74.45552","4.2","Naseem Hayat Rd, opposite to The educators school, Kasur, Punjab 55050, Pakistan","55050","sakina medical complex kasur","9",,"6","1","0","0","2","Naseem Hayat Rd, opposite to The educators school",
"Hospital","31.1348269","74.4587385","5","Street No. 2 Park View Housing Society, near Kasur Garden, Kasur, Punjab 55050, Pakistan","55050","Anwar Surgical Clinic - ASC","1",,"1","0","0","0","0","Street No. 2 Park View Housing Society, near Kasur Garden",
"Hospital","31.1147048","74.4542919","5","4F73+VPM, Kachehri Rd, Chowk Kot Piranwala, Kot Piranwala, Ghausia Colony, Kasur, Punjab 55050, Pakistan","55050","Raheel Medical Centre","2",,"2","0","0","0","0","4F73+VPM, Kachehri Rd, Chowk Kot Piranwala, Kot Piranwala",
"Hospital","31.1039","74.4749","5","4F3F+HX, Kasur, Punjab, Pakistan",,"Rayyan Medical Complex","3",,"3","0","0","0","0","4F3F+HX",
"Private hospital","31.1259447","74.4487459","3.7","near Old Larri Adda, Kasur, Punjab, Pakistan",,"Iqbal Poly Clinic","15",,"6","4","3","2","0","near Old Larri Adda",
"Hospital","31.1288311","74.4470572","4.7","M.A Jinah Road, Kasur, Punjab, Pakistan",,"Muneeb Medical Surgery & Gynae Hospital","6",,"5","0","0","1","0","M.A Jinah Road",
"Hospital","31.1109076","74.4429972","5","Abida Medical & Surgical Complex, Kot Murad Khan Kasur, Punjab 55050, Pakistan","55050","Abida Medical Complex عابدہ میڈیکل کمپلیکس","2",,"2","0","0","0","0","Abida Medical & Surgical Complex",
"Hospital","31.1341785","74.4545036","4.6","Sadar Dewan Road, Kasur, Punjab 55051, Pakistan","55051","Doctor’s Poly Clinic kasur","8",,"7","0","0","0","1","Sadar Dewan Road",
"Hospital","31.148189","74.454331","4.5","4FX3+7PG, Near Lahore-Kasur Road, Service Road, New City Kasur, Kasur, Punjab, Pakistan",,"Aalum hospital & diagnostic centre","6",,"4","1","0","1","0","4FX3+7PG, Near Lahore-Kasur Road, Service Road",
"Private hospital","31.1314882","74.4484951","4","4CJX+H9X, Kasur-Raiwind Rd, Chowk Khan Mahal Cinema, Minhas Colony, Kasur, Punjab 55050, Pakistan","55050","Family Medical Centre","3",,"1","1","0","1","0","4CJX+H9X, Kasur-Raiwind Rd, Chowk Khan Mahal Cinema, Minhas Colony",
"Hospital","31.1287593","74.4436037","5","4CHV+GC5, Khara Rd, Azhar Colony Kasur, Punjab, Pakistan",,"Rehman Hospital","2",,"2","0","0","0","0","4CHV+GC5, Khara Rd",
"Hospital","31.1339713","74.4413832","5","4CMR+HHV, Zulfiqar Town Kasur, Punjab 55050, Pakistan","55050","RAFIQ MEDICAL COMPLEX","1",,"1","0","0","0","0","4CMR+HHV",
"Medical Center","31.1174545","74.4547729","4","4F83+XWJ, Naseem Hayat Rd, Kasur, Punjab, Pakistan",,"Sakina Hospital And Delivery Home","1",,"0","1","0","0","0","4F83+XWJ, Naseem Hayat Rd",
"Private hospital","31.121818","74.4535565","4.2","Kot Bahadur Khan, Milad Gate, Shahbaz Khan Rd, Tariq Colony Kasur, Punjab 55050, Pakistan","55050","Ashraf Medical Surgical Complex & Delivery Home","13",,"5","6","0","2","0","Kot Bahadur Khan, Milad Gate, Shahbaz Khan Rd",
"Hospital","31.126966","74.4666882","4.9","AlKhair Hospital Road, Ali Park Rd, near Kali Pul, Kasur, Punjab 55050, Pakistan","55050","AlKhair Hospital Kasur","101",,"98","0","2","1","0","AlKhair Hospital Road, Ali Park Rd, near Kali Pul",
"Hospital","31.1361583","74.4353809","4.1","Raiwind Rd, Kasur, Punjab 54000, Pakistan","54000","Ahmed Medical Complex Kasur","14",,"11","0","3","0","0","Raiwind Rd",
"Hospital","31.1318684","74.4527333","4.7","4FJ3+Q35, Multan Lahore Road, Kasur, Punjab 55050, Pakistan","55050","Al-Shifa polyclinic","17",,"14","1","0","2","0","4FJ3+Q35, Multan Lahore Road",
"Hospital","31.1302928","74.4617842","4.6","Saeed Abad Saeedabad, Kasur, Punjab 55050, Pakistan","55050","Abida Asghar Hospital","22",,"19","1","2","0","0",,
"Hospital","31.1333609","74.4595365",,"near kasur garden, Steel Bagh Chowk, Kasur, 55050, Pakistan","55050","Abdullah Hospital kasur","0",,,,,,,"near kasur garden, Steel Bagh Chowk",
"Housing society","31.6465796","74.4625902","4.3","JFW7+J2P, Dhaeawala Harbanspura, Lahore, Punjab, Pakistan",,"Awan dhai Wala","10",,"7","0","0","2","1","JFW7+J2P",
"Hospital","31.634737","74.5076607","3","JGM5+V3V, Unnamed Road, Bhasin Lahore, Punjab, Pakistan",,"RHD BHASEEN","1",,"0","0","0","1","0","JGM5+V3V, Unnamed Road",
"Hospital","31.3621351","74.4152172","5","9C68+V34, Dhalloke, Lahore, Punjab, Pakistan",,"BAZ Hospital","1",,"1","0","0","0","0","9C68+V34",
"Hospital","31.6463722","74.4636913",,"JFW7+GFW, Unnamed Road, Dhaeawala Dhaewala, Lahore, Punjab, Pakistan",,"Get hospital","0",,,,,,,"JFW7+GFW, Unnamed Road",
"Hospital","31.6466294","74.4641284","4.3","Dhaeawala Dhaewala, Lahore, Punjab, Pakistan",,"دیہی مرکز صحت اعوان ڈھائے والا","4",,"2","1","0","1","0",,
"Electronics store","31.4478519","74.0654298","5","THQ Hospital, Shah Bukhari Stop, near Punjab College Sharaqpur Sharif, Sharaqpur, sharif, Punjab 39461, Pakistan","39461","Dr Muhammad Rafiq Malik","2",,"2","0","0","0","0","THQ Hospital, Shah Bukhari Stop, near Punjab College Sharaqpur Sharif",
"Hospital","31.2512378","74.2200343","4.5","Civil Hospital, Raiwind Rd, Railway Colony Raiwind, Kasur, Punjab, Pakistan",,"RHC - Rural Health Center, Raiwind","8",,"4","4","0","0","0","Civil Hospital, Raiwind Rd",
"Hospital department","31.2489025","74.2180385",,"66X9+H67, Haji Khadim Hussain St, Kot Khazan Singh Raiwind, Kasur, Punjab, Pakistan",,"HAKEEM HAJI KHADAM HUSEEN","0",,,,,,,"66X9+H67, Haji Khadim Hussain St",
"Medical clinic","31.4323876","74.2536443","5","House. No, 17 Khayaban-e-Jinnah, Nasheman Iqbal Phase 1 Nasheman-e-Iqbal Housing Society, Lahore, Punjab, Pakistan",,"Ear Nose Throat Clinic by Dr. Mohsin Jawad, Ex MS Services Hospital Lhr.","9",,"9","0","0","0","0","House. No, 17 Khayaban-e-Jinnah",
"Physical therapy clinic","31.388375","74.188422","5","3rd Floor, Hospital Parking Plaza, Plot 89, Takbeer Block Sector B Bahria Town, Lahore, Punjab, Pakistan",,"Physiotherapy & Rehabilitation Center Bahria International hospitals","7",,"7","0","0","0","0","3rd Floor, Hospital Parking Plaza, Plot 89",
"Bus stop","31.4053804","74.229718",,"Bhobtian Lahore, Punjab, Pakistan",,"Mumtaz Bhakhtawar Hospital","0",,,,,,,,
"Textile mill","31.4309726","74.2507395",,"374, Nasheman Iqbal Phase 1 Nasheman-e-Iqbal Housing Society, Lahore, Punjab, Pakistan",,"Home Hotel Hospital","0",,,,,,,"374",
"Medical Center","31.4104296","74.2542019",,"Town, 149, E Block Valencia, Lahore, 54800, Pakistan","54800","LAHORE CONSULTANTS CLINIC","0",,,,,,,"Town, 149",
"University","31.4155246","74.2299988",,"72-A Raiwind Rd, Dubai Town, Lahore, Punjab, Pakistan",,"Eye Hospital","0",,,,,,,"72-A Raiwind Rd",
"Bank","31.4060431","74.2301157","3.8","C64J+C29, Raiwind Rd, Dubai Town, LDA Avenue, Bhobtian, Lahore, Punjab, Pakistan",,"HBL | Habib Bank Limited - Mumtaz Bakhtawar Hospital","15",,"8","3","3","0","1","C64J+C29, Raiwind Rd, Dubai Town, LDA Avenue",
"Ophthalmologist","31.3944004","74.2549236","5","Plaza#35, P1 Block, Town, Block P1 Block P 1 Valencia, Lahore, Punjab 54000, Pakistan","54000","Noor Eye Retina Hospital","3",,"3","0","0","0","0","Plaza#35, P1 Block, Town",
"Hospital department","31.4209787","74.1889823",,"C5CQ+9HX, Street 24, Block B Nespak Housing Society Phase 2 NESPAK Housing Society Phase II Site 1, Lahore, Punjab, Pakistan",,"Murshad hospital karachi","0",,,,,,,"C5CQ+9HX, Street 24",
"Hospital","31.4179379","74.2465625",,"C69W+5JF, Ameer Pura Amirpura Jugghian, Lahore, Punjab, Pakistan",,"saeeds foundation","0",,,,,,,"C69W+5JF",
"Hospital department","31.4329663","74.1944529",,"C5MV+5QP, Jhelum Block Green Forts 2, Lahore, Punjab, Pakistan",,"Guladvi Hospital","0",,,,,,,"C5MV+5QP",
"Orthopedic clinic","31.4365243","74.1926834","4","Saleem Memorial Hospital, Satluj Block Green Forts 2, Lahore, Punjab, Pakistan",,"Dr Ahmed Shoaib FRCS(UK) Orthopaedic Surgeon Saleem Memorial Hospital Lahore","4",,"3","0","1","0","0","Saleem Memorial Hospital",
"University","31.3965985","74.2298328","5","96WH+JWP, Raiwind Road, chowk, Bhobtian, Lahore, Pakistan",,"Green University, Ali Fatima Hospital Lahore","2",,"2","0","0","0","0","96WH+JWP, Raiwind Road, chowk",
"Medical Center","31.4311131","74.2540018",,"142 Lane G5, WAPDA Town Block G 5 Wapda Town Phase 1 Lahore, Punjab, Pakistan",,"Abdullah Clinic","0",,,,,,,"142 Lane G5",
"Hospital","31.4273389","74.1894934",,"Block A1 Block A 1 P & D Society, Lahore, Punjab 12345, Pakistan","12345","Dr usama","0",,,,,,,,
"Skin care clinic","31.4226221","74.2420739","5","Plot 12 Khayaban-e-Jinnah, Block C Opf Housing Scheme, Lahore, Punjab 54000, Pakistan","54000","Dr Aqsa Zubair Awan, Sensible skin clinic at Jaffar Hospital","6",,"6","0","0","0","0","Plot 12 Khayaban-e-Jinnah",
"Research foundation","31.3899888","74.2420087","4.7","1 KM, Defence Rd, Lahore, Punjab 54760, Pakistan","54760","Pakistan Children's Heart Foundation","204",,"171","13","5","12","3","1 KM, Defence Rd",
"Hospital","31.3891493","74.2405713",,"96QR+M64 university of teaching hospital, Lahore, Punjab, Pakistan",,"Nephrology Department And Dialysis Center ULTH","0",,,,,,,"96QR+M64 university of teaching hospital",
"Medical Center","31.397899","74.2520446",,"106-L, Block L Valencia, Lahore, Punjab 54000, Pakistan","54000","Awaji","0",,,,,,,"106-L",
"Hospital","31.4320187","74.2538603",,"10, Nasheman Iqbal Phase 1 Nasheman-e-Iqbal Housing Society, Lahore, Punjab, Pakistan",,"Aamir Veterinary Hospital","0",,,,,,,"10",
"Hospital","31.3995261","74.2530411","4.5","97X3+R67, Block L Valencia, Lahore, Punjab, Pakistan",,"Hijama Cupping Best Therapy","2",,"1","1","0","0","0","97X3+R67",
"Hospital","31.4339285","74.2316559",,"C6MJ+HMC, Ali Raza Abad Ali Razabad, Lahore, Punjab, Pakistan",,"RHD ALI Female.","0",,,,,,,"C6MJ+HMC",
"Maternity hospital","31.4124725","74.2221821",,"Plot 21, Block B Sher Shah Colony, Lahore, Punjab, Pakistan",,"Fazal Kabeer Maternity & Clinic","0",,,,,,,"Plot 21",
"Private hospital","31.427954","74.2395999","5","388 B Punjab university employees housing society, phase 2 Lahore, 54000, Pakistan","54000","Psych Counselling Clinic","21",,"21","0","0","0","0","388 B Punjab university employees housing society",
"Hospital","31.4381306","74.2530862","4.6","176 Q 1, WAPDA Town Block Q 1 Wapda Town Phase 2 Lahore, Punjab, Pakistan",,"Rehab Care","73",,"63","2","6","2","0","176 Q 1",
"Child health care centre","31.4088888","74.2488593",,"C65X+HG5, Green Acres Extension Amirpur, Lahore, Punjab, Pakistan",,"Hospital","0",,,,,,,"C65X+HG5",
"Chicken shop","31.2450504","74.2142878","5","Panjab Lahore Kasur Raiwind Main, Ghost Market Bazar, near Ali Hospital, 55150, Pakistan","55150","Samiullah Chicken Sale Center","1",,"1","0","0","0","0","Panjab Lahore Kasur Raiwind Main, Ghost Market Bazar, near Ali Hospital",
"Lodging","31.222305","74.2591879",,"01, Raja Jang, Kasur, Punjab, Pakistan",,"Civil veterinary Hospital","0",,,,,,,"01",
"Pharmacy","31.244967","74.2083754","5","Baba Bahar chowk, Manga - Raiwind Road, near veternary hospital, Rehmat Shah Colony Mohalla Ghauspura Raiwind, Kasur, Punjab, Pakistan",,"Save-On Pharmacy","1",,"1","0","0","0","0","Baba Bahar chowk, Manga - Raiwind Road, near veternary hospital",
"Store","31.2510381","74.210437","5","7626+C57 Tayyab jamil, Sundar Raiwind Rd, near by rana al habib hospital, Raiwind, Kasur, Punjab, Pakistan",,"Tayyab jamil grocery store","1",,"1","0","0","0","0","7626+C57 Tayyab jamil, Sundar Raiwind Rd, near by rana al habib hospital",
"Animal hospital","31.2572272","74.2064412","1","6km sunder raiwind road road, Raiwind, Lahore, Kasur, Punjab, Pakistan",,"Civil veterinary hospital mal lahore","1",,"0","0","1","0","0","6km sunder raiwind road road",
"Bank","31.257865","74.2259569","3.3","Raiwind Rd, Raiwind, Lahore, Punjab, Pakistan",,"Meezan Bank - Raiwind Branch","12",,"5","1","4","2","0","Raiwind Rd",
"Hospital","31.4249659","74.2328221",,"House No.46 Block. A OPF khyaban e Jinnah Road, A, Lahore, 54700, Pakistan","54700","Javaid s Clinics 46-A OPF Khyaban e JInnah Road Lahore.","0",,,,,,,"House No.46 Block. A OPF khyaban e Jinnah Road, A",
"Travel agency","31.2505244","74.2197599","4.5","Raiwind Rd, near Civil Hospital, opposite Jazz Towar, Raiwind, Kasur, Punjab 55150, Pakistan","55150","Raiwind Travel & tours","66",,"55","2","5","2","2","Raiwind Rd, near Civil Hospital, opposite Jazz Towar",
"College","31.2586283","74.2264877","4.8","Phatak Bus Stop, Raiwind Rd, Raiwind, Lahore, Punjab, Pakistan",,"Ahmad College of Nursing & Allied Health Sciences Lahore","9",,"8","0","0","1","0","Phatak Bus Stop, Raiwind Rd",
"Animal hospital","31.2224869","74.2590602","3","67C5+XJV, Raja Jang, Kasur, Punjab, Pakistan",,"Animal Hospital","3",,"1","0","1","1","0","67C5+XJV",
"Laboratory","31.3864932","74.1900893","5","Shop 12 D1 plaza, Shaheen Block Sector B Bahria Town, Lahore, Punjab, Pakistan",,"Hameed Latif Hospital Laboratories","5",,"5","0","0","0","0","Shop 12 D1 plaza",
"Internal medicine ward","31.2464768","74.2129291",,"66W7+H5V, Sundar Raiwind Rd, Raiwind, Raiwend, Punjab 55150, Pakistan","55150","Sulyman Pharmacy","0",,,,,,,"66W7+H5V, Sundar Raiwind Rd",
"Medical Center","31.4333504","74.2316685",,"C6MJ+8MV, Raiwind Rd, Ali Raza Abad Ali Razabad, Lahore, Punjab, Pakistan",,"Multi Care Medical Store","0",,,,,,,"C6MJ+8MV, Raiwind Rd",
,"31.2349897","74.2098618",,"Mission Colony Raiwind, Lahore, Punjab, Pakistan",,"Mission Colony","0",,,,,,,,
"Hospital","31.4253015","74.1946479","5","Plot 121, Block B2 Block B 2 P & D Society, Lahore, Punjab, Pakistan",,"Gynaecologist clinic","1",,"1","0","0","0","0","Plot 121",
"Dentist","31.2466037","74.2126672","5","66W7+J3V, Sundar Raiwind Rd, near Ptcl Telephone Exchange, Raiwind, Lahore, Punjab 55150, Pakistan","55150","The Dental Smile, Raiwind","2",,"2","0","0","0","0","66W7+J3V, Sundar Raiwind Rd, near Ptcl Telephone Exchange",
"Government hospital","31.4329852","74.2358852","4.8","C6MP+59R, Ali Raza Abad Hassanabad, Lahore, Punjab, Pakistan",,"Govt. Basic Health & Vaccination Center.","31",,"26","4","0","1","0","C6MP+59R",
"Eye care center","31.2552394","74.2221859","5","764C+3VV, Raiwind, Lahore, Punjab, Pakistan",,"Makka Eye Clinic M.E.C","1",,"1","0","0","0","0","764C+3VV",
"Hospital","31.4354373","74.2153279",,"C6P8+54G, Block D DHA EME Sector, Lahore, Punjab, Pakistan",,"Dahleez Home Health Care Services","0",,,,,,,"C6P8+54G",
"Doctor","31.2571639","74.2227015","5","7 Commercial Central, Raiwind Rd, Bahria Orchard, Lahore, 55150, Pakistan","55150","Bodeclinic | Dr. Allah Nawaz Sultan | Child Specialist | Neontologist","3",,"3","0","0","0","0","7 Commercial Central, Raiwind Rd",
"Medical Center","31.4075458","74.1893374","4.9","Block C Commercial Area Jubilee Town, Lahore, Punjab 53720, Pakistan","53720","Khalid Eye & Medical Care","38",,"36","1","0","1","0",,
"Medical clinic","31.2619999","74.2246938",,"766F+QVW, Raiwind Rd, Raiwind, Lahore, Punjab, Pakistan",,"Al-Wahid Medical and Dental Center","0",,,,,,,"766F+QVW, Raiwind Rd",
"Medical Center","31.4146397","74.2330743","5","C67M+V64, Dubai Town Lahore, Punjab, Pakistan",,"Dubai physio clinic","1",,"1","0","0","0","0","C67M+V64",
"Hospital","31.2631836","74.2242679",,"767F+7PC, Raiwind, Lahore, Punjab, Pakistan",,"Nadeem Bhai Work Shop","0",,,,,,,"767F+7PC",
"Medical Center","31.4148481","74.253464",,"C773+W9P, Block A Valencia, Lahore, Punjab, Pakistan",,"MedX","0",,,,,,,"C773+W9P",
"Hospital department","31.2448759","74.213717",,"1km suywa asal road, Raiwind, Lahore, Kasur, Punjab, Pakistan",,"Well care medical and surgical trust center Raiwind Lhr Pakistan","0",,,,,,,"1km suywa asal road",
"Hospital","31.41463","74.2205825",,"C67C+R6R, Talib Ganj Lahore, Punjab, Pakistan",,"Ali Surgical Hospital","0",,,,,,,"C67C+R6R",
"Hostel","31.4262325","74.2301667","3.6","C6GJ+F3V, Raiwind Rd, Ashrafabad, Lahore, Punjab, Pakistan",,"Ummul Qura Hospital","14",,"9","0","4","0","1","C6GJ+F3V, Raiwind Rd",
"Medical Center","31.4143519","74.2226356","5","Souq Mahar, Chowk, Talib Ganj Sher Shah Colony, Raiwind, Lahore, Punjab, Pakistan",,"Al Madinah Clinic","3",,"3","0","0","0","0","Souq Mahar, Chowk",
"Medical clinic","31.2454398","74.2162885","3.5","Sharif poly clinic, Main Bazar, raiwind, Raiwind, Kasur, Punjab, Pakistan",,"Dr QURAT UL AIN","6",,"3","1","2","0","0","Sharif poly clinic, Main Bazar",
"Medical Center","31.2472889","74.2125248","4","Raiwind, Lahore, Punjab, Pakistan",,"Affan Health Center","7",,"5","0","1","0","1",,
