"title","location/lat","location/lng","reviewsDistribution/fiveStar","reviewsDistribution/fourStar","reviewsDistribution/oneStar","reviewsDistribution/threeStar","reviewsDistribution/twoStar","address","price","rank","categoryName","totalScore","postalCode","reviewsCount","street"
"HAFIZ SUPER STORE","30.8725765","74.0374617",,,,,,"گہن ہٹھاڑ چونیاں بائی پاس گہلن ہٹھاڑ, Allah Abad, چونیان قصور, 50550, Pakistan",,"8","Supermarket","4.7","50550","12","گہن ہٹھاڑ چونیاں بائی پاس گہلن ہٹھاڑ"
"Shalimar Bakers And Super Store","31.4086391","74.3596597",,,,,,"C955+FV3, Glaxo Town, Lahore, Punjab, Pakistan",,"4","Grocery store","4.1",,"31","C955+FV3"
"KARACHI GENERAL STORE","30.8825966","74.0559086",,,,,,"Ellahabad, Gulshan Iqbal Colony Lahore, 85284, Pakistan",,"10","Grocery store","5","85284","1","Ellahabad"
"MALIK GHULAM MOHAMMAD KARYANA STORE","31.2081517","73.9450172",,,,,,"6W5W+726, Multan Rd, Phool Nagar, Kasur, Punjab, Pakistan",,"4","Supermarket","5",,"3","6W5W+726, Multan Rd"
"Shakir Super Store","30.8744221","74.0559179",,,,,,"Kanganpur, Road, in front of Ghala Mandi Road, Allah Abad, Kasur, Punjab 55221, Pakistan",,"11","Supermarket",,"55221","0","Kanganpur, Road, in front of Ghala Mandi Road"
"RAIYA MART","31.4134375","74.3596875",,,,,,"Youhanabad, Lahore, Punjab, Pakistan",,"5","Supermarket","4.2",,"241",
"Cheema Market","30.8756007","74.0552917",,,,,,"V3G4+64V, Allahabad - Kanganpur Rd, Allahabad, Kasur, Punjab 55220, Pakistan",,"12","Grocery store","5","55220","2","V3G4+64V, Allahabad - Kanganpur Rd"
"Ch. Haneef commission shope fruit and vegetables dealer","30.8783269","74.0638304",,,,,,"V3H7+8GP Fruit and Vegetables mandi, Kasur Rd, Allahabad, Kasur, Punjab, Pakistan",,"13","Grocery store",,,"0","V3H7+8GP Fruit and Vegetables mandi, Kasur Rd"
"Nadeem Nisaar kiryana Store","31.1848564","73.975498",,,,,,"5XMG+W5X, Ghumanke, Kasur, Punjab, Pakistan",,"5","Grocery store","3.8",,"46","5XMG+W5X"
"Hafiz Super Store","31.4281372","74.3490588",,,,,,"Market Road, B Block Block B Pak-Arab Housing Scheme, Lahore, Punjab, Pakistan",,"7","Supermarket","5",,"5","Market Road"
"Mahar Seed Store","30.8773745","74.0593961",,,,,,"V3G5+WQR, Ghallah Mandi Rd, Allah Abad, Kasur, Punjab, Pakistan",,"14","Grocery store","5",,"3","V3G5+WQR, Ghallah Mandi Rd"
"rana abdul wakeel Joiya Market","31.4222671","74.3319783",,,,,,"C87H+X54, Defence Rd, Gujjar Colony, Lahore, Punjab, Pakistan",,"8","Supermarket","4.2",,"98","C87H+X54, Defence Rd"
"Zahir khan shikab original kenia tea store","31.2066107","73.9478106",,,,,,"6W4X+J4V, Phool Nagar, Kasur, Punjab, Pakistan",,"6","Grocery store","5",,"3","6W4X+J4V"
"بسم اللہ فروٹ اینڈ ویجٹیبل کارپوریشن","30.8747646","74.0593872",,,,,,"V3F5+WQ2, Allahabad, Kasur, Punjab, Pakistan",,"15","Grocery store","4.7",,"3","V3F5+WQ2"
"Freshly","31.2108555","73.9498729",,,,,,"6W6X+8WX, Multan Rd, Kot Fazal Shah, Phool Nagar, Kasur, Punjab, Pakistan",,"7","Grocery store","4",,"7","6W6X+8WX, Multan Rd"
"Rana Supper Stor & Bakers","31.4244518","74.2957172",,,,,,"C7FW+Q7P, Feroze Park Rd, Bagrian Lahore, Punjab, Pakistan",,"9","Supermarket","4.2",,"17","C7FW+Q7P, Feroze Park Rd"
"Amir pansar store","30.8759492","74.0545401",,,,,,"V3G3+9RF, Depalpur Rd, Allah Abad, Kasur, Punjab, Pakistan",,"16","Grocery store","3.7",,"16","V3G3+9RF, Depalpur Rd"
"MEHAR ASLAM KIRANA STORE","31.164867","74.0128888",,,,,,"baba ujagar singh, Kot, Phool Nagar, 55260, Pakistan",,"9","Grocery store","5","55260","1","baba ujagar singh, Kot"
"Gujjar Super Store","31.2093286","73.9430362",,,,,,"6W5V+P6M, Phool Nagar, Kasur, Punjab, Pakistan",,"10","Grocery store","4.4",,"12","6W5V+P6M"
"M.Sultan Buillding Material Store","30.8810165","74.064952",,,,,,"Depalpur Rd, Allah Abad, Kasur, Punjab, Pakistan",,"17","Grocery store",,,"0","Depalpur Rd"
"Farman Khan Store","31.4080265","74.3685974",,,,,,"D Block, Youhanabad, Lahore, Punjab, Pakistan",,"10","Grocery store","4.1",,"25","D Block"
"Rehmat Karyana Store","31.2134396","73.9509587",,,,,,"6X72+99G Rehmat Karyana Store, Malik Colony, Phool Nagar, Kasur, Punjab, Pakistan",,"11","Grocery store","3.9",,"36","6X72+99G Rehmat Karyana Store"
"Alshreef Market","31.4412594","74.3498729",,,,,,"C8RX+GW5, Mujahid Rd, Tidlanwali Jhalār Tidlan Wali Jhalar, Lahore, Punjab, Pakistan",,"11","Supermarket","4",,"24","C8RX+GW5, Mujahid Rd"
"Noman Karyana Sator","31.1926832","73.9478628",,,,,,"5WVX+34H, Phool Nagar, Kasur, Punjab, Pakistan",,"14","Grocery store","3.7",,"3","5WVX+34H"
"Haleem Rice Mills","30.8999612","74.0358098",,,,,,"V2XP+X8, Noorpur Kasur, Kasur, Punjab, Pakistan",,"18","Grocery store","5",,"1","V2XP+X8"
"Sabri Store","31.4307487","74.3656053",,,,,,"31.431198, 74.365345 Awan Market, Street Number 6, Awan Market, Lahore, Punjab 54000, Pakistan",,"12","Grocery store","5","54000","2","31.431198, 74.365345 Awan Market, Street Number 6"
"RANA AHMAD GENERAL STORE","31.1532802","73.9643293",,,,,,"Phulliani Rd, Sharenky, Kasur, Punjab, Pakistan",,"15","Grocery store","2.6",,"5","Phulliani Rd"
"Foji Saeed Iqbal kiryan store","30.8798146","74.0559793",,,,,,"V3H4+X88, Allah Abad, Kasur, Punjab, Pakistan",,"19","Grocery store",,,"0","V3H4+X88"
"Ali Jewlers","31.2064408","73.9451059",,,,,,"6W4W+H2H, sarafa bazaar, Phool Nagar, Kasur, Punjab, Pakistan",,"17","Supermarket","4",,"29","6W4W+H2H, sarafa bazaar"
"Ghosia Sweets & Bakers","31.4249741","74.296074",,,,,,"C7FW+XCP, Bagrian Lahore, Punjab, Pakistan",,"13","Grocery store","5",,"7","C7FW+XCP"
"Baig G Arian Store","31.2112884","73.9495009",,,,,,"6W6X+GR6, Malik Colony, Phool Nagar, Kasur, Punjab, Pakistan",,"18","Grocery store","4",,"3","6W6X+GR6"
"Tayyaba Bakery And Super Store","31.4249474","74.3410583",,,,,,"Plot no F5, Phase-2 of Pak Arab Housing Society, Lahore, Punjab 54770, Pakistan",,"14","Supermarket","4.6","54770","18","Plot no F5"
"Rana Ishaq super markit","31.2020202","73.9443599",,,,,,"6W2V+GQ6, Phool Nagar, Kasur, Punjab, Pakistan",,"19","Grocery store",,,"0","6W2V+GQ6"
"SAJJAD MOBILE","31.4221555","74.3586579",,,,,,"C9C5+VF7, Nishter Colony Main Bazar, Salman Block Nishter Colony, Lahore, Punjab 54600, Pakistan",,"15","Supermarket","5","54600","4","C9C5+VF7, Nishter Colony Main Bazar"
"M Boota And Sons Grocery Store","31.205781","73.9370389",,,,,,"6W4P+8R7, Phool Nagar, Kasur, Punjab, Pakistan",,"20","Grocery store",,,"0","6W4P+8R7"
"U S Mart","31.4233783","74.3493081",,,,,,"Shadab, 1 A Commercial Markete A Block, Colony, Lahore, 54600, Pakistan",,"16","Supermarket","5","54600","1","Shadab, 1 A Commercial Markete A Block, Colony"
"Maqsood hussain shah house","31.4206426","74.2977424",,,,,,"Feroze Park Rd, phase two Bagrian, Lahore, Punjab, Pakistan",,"17","Supermarket","4.7",,"3","Feroze Park Rd"
"Al Hafiz Super store","31.4391658","74.3115062",,,,,,"C8Q6+MJ6, Unnamed Road, Sector D1 - Block 5 Block 5 Sector D1 Lahore, Punjab, Pakistan",,"18","Discount supermarket","4.3",,"3","C8Q6+MJ6, Unnamed Road"
"Asad pan shop","31.4308797","74.3756443",,,,,,"C9JG+972, Unnamed Road, Lahore, Punjab, Pakistan",,"19","Supermarket","4",,"4","C9JG+972, Unnamed Road"
"AD Super Store","31.4294465","74.3010451",,,,,,"C8H2+QC, Bagrian Lahore, Punjab, Pakistan",,"20","Grocery store","3",,"2","C8H2+QC"
"Prado Sole Center","31.5856461","74.3157097",,,,,,"Shaya phalwan near fort, Grid Station, Daulat Javaid Road Ali Center, Dera Iqbal Rd, Lahore, Pakistan",,"161","Shoe factory",,,"0","Shaya phalwan near fort, Grid Station, Daulat Javaid Road Ali Center, Dera Iqbal Rd"
"Super Asia Sanitary Store","31.57761","74.324633","8","2","0","1","0","Kissan St, Ram Gali Naulakha, Lahore, Punjab 54000, Pakistan",,"162","Pipe supplier","4.6","54000","11","Kissan St"
"Zafar Auto brakes","31.5901551","74.3185161","2","0","0","0","0","Auto center, phase 1 Badami Bagh, Lahore, Punjab, Pakistan",,"163","Supermarket","5",,"2","Auto center"
